gene,chembl_id,total,p1,p2,p3,approved
NLRP3,CHEMBL1741208,1,0,1,0,0
CXCL8,CHEMBL2157,2,0,2,0,0
ATR,CHEMBL5024,4,2,1,1,0
LCK,CHEMBL258,2,1,0,0,1
ITK,CHEMBL2959,1,0,0,0,1
PTK2,CHEMBL2695,7,4,2,1,0
PTK2B,CHEMBL5469,2,1,0,1,0
PARP1,CHEMBL3105,8,0,3,1,4
PARP2,CHEMBL5366,7,0,2,1,4
PIK3CB,CHEMBL3145,5,3,2,0,0
C5AR1,CHEMBL2373,2,0,1,0,1
CCN2,CHEMBL3712901,1,0,0,1,0
SLC10A1,CHEMBL5287,4,0,2,1,1
ESR1,CHEMBL206,25,0,3,4,18
TOP2A,CHEMBL1806,12,0,1,3,8
SV2A,CHEMBL1998,3,0,0,1,2
CACNA1B,CHEMBL4478,7,0,3,1,3
ABAT,CHEMBL2044,1,0,0,0,1
COMT,CHEMBL2023,4,0,1,0,3
GRIA2,CHEMBL4016,1,0,1,0,0
GRIA1,CHEMBL2009,1,0,1,0,0
CYP46A1,CHEMBL4523510,1,0,0,1,0
CA12,CHEMBL3242,3,0,0,0,3
HCRTR1,CHEMBL5113,3,0,1,0,2
HCRTR2,CHEMBL4792,4,0,1,1,2
