disease,gene,drug,status,note,vdr_class,vdr_score,gr_score
Ulcerative Colitis,IL1B,canakinumab,failed,UC適応なし,GR,7.58,45.09
Psoriasis,IL23A,ustekinumab,approved,anti-IL23,VDR,211.05,70.34
Psoriasis,IL23A,guselkumab,approved,anti-IL23,VDR,211.05,70.34
Psoriasis,IL23A,risankizumab,approved,anti-IL23,VDR,211.05,70.34
Psoriasis,IL23A,tildrakizumab,approved,anti-IL23,VDR,211.05,70.34
Psoriasis,TNF,etanercept,approved,anti-TNF,VDR,36.86,19.49
Psoriasis,TNF,infliximab,approved,anti-TNF,VDR,36.86,19.49
Psoriasis,TNF,adalimumab,approved,anti-TNF,VDR,36.86,19.49
Psoriasis,IL17A,secukinumab,approved,anti-IL17A,unknown,0.0,0.0
Psoriasis,IL17A,ixekizumab,approved,anti-IL17A,unknown,0.0,0.0
Psoriasis,IL17A,bimekizumab,approved,anti-IL17A/F,unknown,0.0,0.0
Psoriasis,TYK2,deucravacitinib,approved,TYK2i,GR,20.2,73.07
Psoriasis,IL22,fezakinumab,failed,Ph2 limited,unknown,0.0,0.0
Psoriasis,MAPK14,p38i,failed,多数失敗,GR,3.69,69.51
Psoriasis,ICAM1,alicaforsen,failed,Ph3失敗,unknown,0.0,0.0
Psoriasis,MMP9,MMPi,failed,失敗,GR,11.54,71.71
RA,TNF,infliximab,approved,anti-TNF,VDR,36.86,19.49
RA,TNF,adalimumab,approved,anti-TNF,VDR,36.86,19.49
RA,TNF,etanercept,approved,anti-TNF,VDR,36.86,19.49
RA,TNF,certolizumab,approved,anti-TNF,VDR,36.86,19.49
RA,TNF,golimumab,approved,anti-TNF,VDR,36.86,19.49
RA,IL6R,tocilizumab,approved,anti-IL6R,VDR,99.59,82.9
RA,IL6R,sarilumab,approved,anti-IL6R,VDR,99.59,82.9
RA,CD86,abatacept,approved,CTLA4-Ig/CD86,VDR,26.86,0.0
RA,JAK1,tofacitinib,approved,JAKi,GR,0.0,85.48
RA,JAK1,baricitinib,approved,JAK1/2i,GR,0.0,85.48
RA,JAK1,upadacitinib,approved,JAK1i,GR,0.0,85.48
RA,JAK1,filgotinib,approved,JAK1i,GR,0.0,85.48
RA,IL1B,anakinra,approved,anti-IL1Ra,GR,7.58,45.09
RA,MAPK14,p38i (losmapimod等),failed,Ph3失敗(RA),GR,3.69,69.51
RA,MMP9,MMPi (marimastat等),failed,Ph3失敗,GR,11.54,71.71
RA,IL17A,secukinumab,failed,RA Ph2/3否定,unknown,0.0,0.0
Asthma,IGHE,omalizumab,approved,anti-IgE,VDR,3.22,0.0
Asthma,IL5,mepolizumab,approved,anti-IL5,GR,5.67,123.29
Asthma,IL5,reslizumab,approved,anti-IL5,GR,5.67,123.29
Asthma,IL5RA,benralizumab,approved,anti-IL5Rα,GR,20.35,61.24
Asthma,IL4R,dupilumab,approved,anti-IL4Rα,GR,24.75,50.92
Asthma,TSLP,tezepelumab,approved,anti-TSLP,VDR,23.96,0.0
Asthma,IL33,itepekimab,approved,anti-IL33,unknown,0.0,0.0
Asthma,TNF,golimumab,failed,severe asthma Ph3失敗,VDR,36.86,19.49
Asthma,MAPK14,p38i (various),failed,Ph2/3失敗,GR,3.69,69.51
Asthma,IL17A,secukinumab,failed,好中球性喘息 無効,unknown,0.0,0.0
Asthma,IL1B,canakinumab,failed,非好酸球性喘息 無効,GR,7.58,45.09
Asthma,CXCR2,navarixin,failed,好中球性喘息 Ph2/3失敗,VDR,69.42,8.12
Rhinitis/CRSwNP,IGHE,omalizumab,approved,anti-IgE (アレルギー性鼻炎),VDR,3.22,0.0
Rhinitis/CRSwNP,IL4R,dupilumab,approved,CRSwNP承認,GR,24.75,50.92
Rhinitis/CRSwNP,IL5,mepolizumab,approved,CRSwNP承認,GR,5.67,123.29
Rhinitis/CRSwNP,TSLP,tezepelumab,approved,CRSwNP承認(2024),VDR,23.96,0.0
Rhinitis/CRSwNP,CCR3,bertilimumab,failed,CRS Ph2失敗,GR,0.0,24.77
Rhinitis/CRSwNP,MAPK14,p38i,failed,気道炎症 Ph2/3失敗,GR,3.69,69.51
Rhinitis/CRSwNP,IL1B,canakinumab,failed,CRSwNP適応なし,GR,7.58,45.09
Atopic Dermatitis,IL4R,dupilumab,approved,anti-IL4Rα,GR,24.75,50.92
Atopic Dermatitis,IL13,tralokinumab,approved,anti-IL13,GR,3.31,99.09
Atopic Dermatitis,IL13,lebrikizumab,approved,anti-IL13,GR,3.31,99.09
Atopic Dermatitis,JAK1,abrocitinib,approved,JAK1i,GR,0.0,85.48
Atopic Dermatitis,JAK1,upadacitinib,approved,JAK1i,GR,0.0,85.48
Atopic Dermatitis,JAK1,baricitinib,approved,JAK1/2i,GR,0.0,85.48
Atopic Dermatitis,MAPK14,p38i,failed,AD Ph2/3失敗,GR,3.69,69.51
Atopic Dermatitis,CCR3,anti-CCR3,failed,好酸球性AD Ph2失敗,GR,0.0,24.77
Atopic Dermatitis,TNFAIP3,NF-κBi,failed,失敗,GR,5.71,42.78
