human_gene,zebrafish_gene,zebrafish_name,perc_id,has_ortholog
TSLP,,,0.0,False
CSF2,,,0.0,False
IL5,,,0.0,False
IL13,,,0.0,False
CD14,,,0.0,False
HDAC3,,,0.0,False
FGF1,,,0.0,False
NR3C1,ENSDARG00000025032,ENSDARP00000054263,48.9276,True
ADRB2,ENSDARG00000054510,ENSDARP00000112597,51.5892,True
CSF1R,ENSDARG00000053624,ENSDARP00000121694,37.3444,True
PDGFRB,ENSDARG00000100897,ENSDARP00000152459,49.9067,True
GRIA1,ENSDARG00000021352,ENSDARP00000010256,75.4923,True
HAVCR2,,,0.0,False
ITK,ENSDARG00000017565,ENSDARP00000022015,58.6039,True
HRH2,ENSDARG00000015392,ENSDARP00000075688,91.5475,True
FLT4,ENSDARG00000104453,ENSDARP00000133227,53.5088,True
RIPK1,ENSDARG00000006677,ENSDARP00000014604,38.8805,True
ALDH5A1,ENSDARG00000076544,ENSDARP00000113407,72.0833,True
LTA,ENSDARG00000009511,ENSDARP00000025726,23.5043,True
TNF,,,0.0,False
MAPK14,ENSDARG00000028721,ENSDARP00000035686,72.2992,True
VEGFA,ENSDARG00000034700,ENSDARP00000120079,46.2151,True
SLC29A1,ENSDARG00000054447,ENSDARP00000142204,67.6606,True
IL17A,,,0.0,False
IL17F,ENSDARG00000041976,ENSDARP00000061522,24.6914,True
HCRTR2,ENSDARG00000023722,ENSDARP00000029101,70.5189,True
CNR1,,,0.0,False
TRAF3IP2,,,0.0,False
MARCKS,ENSDARG00000004049,ENSDARP00000106995,56.7797,True
HDAC2,,,0.0,False
FRK,ENSDARG00000027807,ENSDARP00000034214,58.7891,True
CCN2,ENSDARG00000042934,ENSDARP00000063027,77.6812,True
ESR1,ENSDARG00000004111,ENSDARP00000082277,48.5061,True
PLG,ENSDARG00000023111,ENSDARP00000045815,56.2347,True
AHR,ENSDARG00000020046,ENSDARP00000017676,42.2785,True
IL6,,,0.0,False
GPNMB,ENSDARG00000062688,ENSDARP00000085316,30.4625,True
PPIA,ENSDARG00000007409,ENSDARP00000003709,66.6667,True
EGFR,ENSDARG00000013847,ENSDARP00000125265,57.76,True
CDK6,ENSDARG00000070228,ENSDARP00000126132,79.6296,True
NAMPT,ENSDARG00000100321,ENSDARP00000130514,75.2066,True
MET,ENSDARG00000070903,ENSDARP00000123904,51.809,True
CFTR,ENSDARG00000041107,ENSDARP00000060242,55.7576,True
IMPDH1,ENSDARG00000029524,ENSDARP00000066974,89.6887,True
CHRM2,ENSDARG00000098612,ENSDARP00000134707,67.8788,True
BRAF,ENSDARG00000017661,ENSDARP00000048390,78.213,True
CDK5,ENSDARG00000056683,ENSDARP00000073666,96.5753,True
LOXL2,ENSDARG00000044074,ENSDARP00000146651,70.3412,True
ADRA1A,ENSDARG00000024101,ENSDARP00000010895,59.0631,True
PTK2B,ENSDARG00000039577,ENSDARP00000057818,59.6614,True
EPHX2,ENSDARG00000040255,ENSDARP00000058889,49.3716,True
GSR,ENSDARG00000019236,ENSDARP00000047049,67.2941,True
FGFR1,ENSDARG00000011027,ENSDARP00000013742,70.7046,True
IDO1,,,0.0,False
IKBKB,ENSDARG00000079123,ENSDARP00000117685,58.4082,True
PTK2,ENSDARG00000100456,ENSDARP00000131584,66.5302,True
JAK2,ENSDARG00000018882,ENSDARP00000105218,68.7389,True
CD274,,,0.0,False
IL33,,,0.0,False
TYRP1,ENSDARG00000029204,ENSDARP00000050527,67.3664,True
TEK,ENSDARG00000028663,ENSDARP00000055680,52.509,True
NTRK2,ENSDARG00000059897,ENSDARP00000118353,64.7959,True
SYK,ENSDARG00000008186,ENSDARP00000003321,71.3816,True
ABL1,ENSDARG00000035187,ENSDARP00000124744,70.5828,True
CACNA1B,ENSDARG00000079295,ENSDARP00000084400,66.9836,True
MAP3K8,ENSDARG00000061710,ENSDARP00000082752,58.8983,True
RET,ENSDARG00000055305,ENSDARP00000072093,59.132,True
ALOX5,ENSDARG00000069966,ENSDARP00000093033,58.7278,True
CDK1,ENSDARG00000087554,ENSDARP00000109027,82.1192,True
SIRT1,ENSDARG00000068064,ENSDARP00000088981,52.3944,True
CYP26A1,ENSDARG00000033999,ENSDARP00000041727,68.6992,True
ADRB1,ENSDARG00000007490,ENSDARP00000109357,60.7692,True
FGFR2,ENSDARG00000058115,ENSDARP00000124472,75.537,True
MS4A1,ENSDARG00000098387,ENSDARP00000137040,9.56522,True
PTGDR2,,,0.0,False
CHRM1,ENSDARG00000037292,ENSDARP00000142274,52.4731,True
PGR,ENSDARG00000035966,ENSDARP00000109370,49.0054,True
MMP7,ENSDARG00000089887,ENSDARP00000128679,22.9299,True
MMP8,,,0.0,False
MMP12,ENSDARG00000045887,ENSDARP00000067446,40.0,True
MMP13,ENSDARG00000045887,ENSDARP00000067446,44.8421,True
CASP1,ENSDARG00000086266,ENSDARP00000107531,26.087,True
IL18,,,0.0,False
DRD2,ENSDARG00000011091,ENSDARP00000003786,68.8053,True
CD3E,,,0.0,False
CHEK1,ENSDARG00000104765,ENSDARP00000133390,64.3902,True
CD27,ENSDARG00000054968,ENSDARP00000114636,14.6853,True
LAG3,ENSDARG00000090844,ENSDARP00000144331,10.9689,True
CD4,ENSDARG00000087509,ENSDARP00000128063,14.0794,True
PDE3A,ENSDARG00000004227,ENSDARP00000119110,57.3859,True
IRAK4,ENSDARG00000100534,ENSDARP00000135636,46.7562,True
VDR,ENSDARG00000112923,ENSDARP00000157477,68.7861,True
ITGB7,ENSDARG00000044318,ENSDARP00000065056,44.1645,True
GPR84,ENSDARG00000077308,ENSDARP00000118984,46.5854,True
PMEL,ENSDARG00000033760,ENSDARP00000046267,31.9805,True
ERBB3,ENSDARG00000006202,ENSDARP00000124007,48.4458,True
CDK4,ENSDARG00000087937,ENSDARP00000087219,71.3805,True
IFNG,ENSDARG00000024211,ENSDARP00000122851,21.229,True
IL22,,,0.0,False
NR1H4,ENSDARG00000057741,ENSDARP00000061793,63.354,True
SELPLG,,,0.0,False
ALDH2,ENSDARG00000028087,ENSDARP00000143945,75.5814,True
MAPKAPK5,ENSDARG00000028082,ENSDARP00000113922,87.4735,True
P2RX7,ENSDARG00000042440,ENSDARP00000062228,42.4497,True
FLT3,,,0.0,False
FLT1,ENSDARG00000019371,ENSDARP00000002466,50.7075,True
TNFSF11,ENSDARG00000068141,ENSDARP00000089126,25.0996,True
HTR2A,ENSDARG00000058165,ENSDARP00000126034,57.8603,True
TNFSF13B,ENSDARG00000012945,ENSDARP00000147939,36.9403,True
F10,ENSDARG00000088581,ENSDARP00000106731,46.627,True
PARP2,ENSDARG00000079202,ENSDARP00000118376,52.8505,True
PTGER2,ENSDARG00000011434,ENSDARP00000112192,40.2174,True
LGALS3,ENSDARG00000077850,ENSDARP00000100661,33.4337,True
ESR2,ENSDARG00000016454,ENSDARP00000110930,51.5371,True
SLC10A1,ENSDARG00000030588,ENSDARP00000145063,43.5967,True
PGF,ENSDARG00000115359,ENSDARP00000150190,42.8571,True
CYP46A1,ENSDARG00000089177,ENSDARP00000110394,43.7882,True
IGHE,,,0.0,False
CHRNA7,ENSDARG00000101522,ENSDARP00000140988,68.8073,True
SLC12A1,ENSDARG00000098096,ENSDARP00000140839,71.5125,True
MAP2K1,ENSDARG00000007825,ENSDARP00000008018,87.8481,True
CD276,ENSDARG00000003061,ENSDARP00000123693,52.3333,True
NTRK3,ENSDARG00000077228,ENSDARP00000140182,74.2996,True
IGF1R,ENSDARG00000027423,ENSDARP00000017066,66.4057,True
PDPK1,ENSDARG00000018285,ENSDARP00000019085,77.4674,True
ABAT,ENSDARG00000006031,ENSDARP00000125625,69.6,True
CD19,,,0.0,False
VKORC1,ENSDARG00000086183,ENSDARP00000110920,50.2924,True
SLC5A2,ENSDARG00000100919,ENSDARP00000138142,69.6375,True
SLC6A2,ENSDARG00000016141,ENSDARP00000124452,71.68,True
SLC12A3,ENSDARG00000013855,ENSDARP00000025500,63.6364,True
CX3CL1,ENSDARG00000071499,ENSDARP00000096549,23.8994,True
DHODH,ENSDARG00000051889,ENSDARP00000068087,65.602,True
TRPV1,,,0.0,False
TNFSF12,,,0.0,False
TNFSF13,,,0.0,False
GLP2R,,,0.0,False
NOS2,ENSDARG00000031976,ENSDARP00000048846,59.2386,True
SLC6A4,ENSDARG00000061165,ENSDARP00000081336,67.0279,True
CCL11,ENSDARG00000071499,ENSDARP00000096549,19.4969,True
RARA,,,0.0,False
TOP2A,ENSDARG00000024488,ENSDARP00000139353,66.6879,True
ACE,,,0.0,False
SCN4A,,,0.0,False
TYMS,ENSDARG00000042894,ENSDARP00000047068,75.1572,True
MC2R,ENSDARG00000054949,ENSDARP00000071699,48.0263,True
HRH4,,,0.0,False
MADCAM1,,,0.0,False
ELANE,,,0.0,False
S1PR4,ENSDARG00000074851,ENSDARP00000112534,45.5013,True
EEF2,ENSDARG00000035256,ENSDARP00000051080,92.4506,True
MAP2K2,ENSDARG00000068918,ENSDARP00000124788,82.7848,True
TNFSF14,ENSDARG00000111357,ENSDARP00000154814,24.6809,True
DNMT1,ENSDARG00000030756,ENSDARP00000013243,69.4667,True
TYK2,ENSDARG00000020326,ENSDARP00000124187,50.6438,True
KEAP1,ENSDARG00000074634,ENSDARP00000124228,76.7285,True
S1PR5,ENSDARG00000052192,ENSDARP00000125952,49.7222,True
JAK3,,,0.0,False
FFAR2,ENSDARG00000097901,ENSDARP00000129470,49.2806,True
AXL,ENSDARG00000112045,ENSDARP00000146228,52.9262,True
PTGIR,ENSDARG00000038278,ENSDARP00000128285,48.0769,True
C5AR1,ENSDARG00000040319,ENSDARP00000059000,36.1272,True
FCGRT,ENSDARG00000092731,ENSDARP00000117273,20.7071,True
FKBP1A,,,0.0,False
SNAP25,ENSDARG00000058117,ENSDARP00000075371,90.1478,True
SRC,ENSDARG00000008107,ENSDARP00000093618,83.1461,True
TOP1,ENSDARG00000070545,ENSDARP00000065948,82.4538,True
MMP9,ENSDARG00000042816,ENSDARP00000062844,59.5588,True
CD40,,,0.0,False
IFNAR1,ENSDARG00000078042,ENSDARP00000054593,25.0681,True
IL17RA,,,0.0,False
COMT,ENSDARG00000015337,ENSDARP00000119183,48.0144,True
MIF,ENSDARG00000037425,ENSDARP00000054468,32.3529,True
ADORA2A,ENSDARG00000033706,ENSDARP00000153512,55.6561,True
TNFRSF13C,,,0.0,False
PPARA,ENSDARG00000031777,ENSDARP00000107246,66.1702,True
MAPK11,ENSDARG00000045836,ENSDARP00000034350,82.8255,True
TLR7,ENSDARG00000068812,ENSDARP00000105671,55.7895,True
TLR8,,,0.0,False
ARAF,ENSDARG00000054533,ENSDARP00000118701,67.053,True
HDAC6,ENSDARG00000008384,ENSDARP00000124246,49.8612,True
HDAC8,ENSDARG00000003021,ENSDARP00000017858,73.0159,True
CYSLTR1,ENSDARG00000058246,ENSDARP00000113964,56.7251,True
BTK,ENSDARG00000004433,ENSDARP00000124430,65.1562,True
HTR2C,ENSDARG00000018228,ENSDARP00000005343,46.332,True
CD40LG,,,0.0,False
MAGEA3,ENSDARG00000058212,ENSDARP00000075481,24.2308,True
AVPR2,ENSDARG00000029219,ENSDARP00000150896,43.9909,True
